d 1
anti-d -1
u 2
anti-u -2
s 3
anti-s -3
c 4
anti-c -4
b 5
anti-b -5
t 6
anti-t -6
b' 7
anti-b' -7
t' 8
anti-t' -8
g 21
e- 11
e+ -11
nu_e 12
anti-nu_e -12
mu- 13
mu+ -13
nu_mu 14
anti-nu_mu -14
tau- 15
tau+ -15
nu_tau 16
anti-nu_tau -16
L- 17
L+ -17
nu_L 18
anti-nu_L -18
gamma 22
vpho 10022
Cerenkov 20022
Z0 23
W+ 24
W- -24
Higgs0 25
reggeon 28
pomeron 29
Z'0 32
Z''0 33
W'+ 34
W'- -34
Higgs'0 35
A0 36
Higgs+ 37
Higgs- -37
R0 40
anti-R0 -40
Xu0 41
Xu+ 42
Xu- -42
specflav 81
rndmflav 82
anti-rndmflav -82
phasespa 83
c-hadron 84
anti-c-hadron -84
b-hadron 85
anti-b-hadron -85
t-hadron 86
anti-t-hadron -86
b'-hadron 87
anti-b'-hadron -87
t'-hadron 88
anti-t'-hadron -88
Wvirt+ 89
Wvirt- -89
diquark 90
anti-diquark -90
cluster 91
string 92
indep 93
CMshower 94
SPHEaxis 95
THRUaxis 96
CLUSjet 97
CELLjet 98
table 99
bsbottom 500
pi0 111
pi+ 211
pi- -211
pi_diff+ 210
pi_diff- -210
pi(2S)0 20111
pi(2S)+ 20211
pi(2S)- -20211
eta 221
eta(2S) 20221
eta(1405) 9020221
eta(1475) 100331
phi(1680) 100333
eta' 331
rho0 113
rho_diff0 110
rho+ 213
rho- -213
rho(2S)0 30113
rho(2S)+ 30213
rho(2S)- -30213
rho(3S)0 40113
rho(3S)+ 40213
rho(3S)- -40213
omega 223
omega_diff 220
omega(2S) 30223
phi 333
phi_diff 330
a_00 10111
a_0+ 10211
a_0- -10211
f_0 10221
f'_0 10331
b_10 10113
b_1+ 10213
b_1- -10213
h_1 10223
h'_1 10333
a_10 20113
a_1+ 20213
a_1- -20213
f_1 20223
f'_1 20333
a_20 115
a_2+ 215
a_2- -215
f_2 225
f_0(1500) 50221
f'_2 335
K0 311
anti-K0 -311
K_S0 310
K_L0 130
K+ 321
K- -321
K*0 313
anti-K*0 -313
K*+ 323
K*- -323
K_0*0 10311
anti-K_0*0 -10311
K_0*+ 10321
K_0*- -10321
K_10 10313
anti-K_10 -10313
K_1+ 10323
K_1- -10323
K_2*0 315
anti-K_2*0 -315
K_2*+ 325
K_2*- -325
K'_10 20313
anti-K'_10 -20313
K'_1+ 20323
K'_1- -20323
K'*0 100313
anti-K'*0 -100313
K'*+ 100323
K'*- -100323
K''*0 30313
anti-K''*0 -30313
K''*+ 30323
K''*- -30323
K_3*0 317
anti-K_3*0 -317
K_3*+ 327
K_3*- -327
